icd_code,count,pct_of_uncl,title
I10,7523,22.86%,Essential (primary) hypertension
4019,6918,21.02%,Unspecified essential hypertension
E785,5742,17.45%,"Hyperlipidemia, unspecified"
2724,3990,12.12%,Other and unspecified hyperlipidemia
Z87891,3872,11.77%,Personal history of nicotine dependence
K219,3118,9.47%,Gastro-esophageal reflux disease without esophagitis
F419,2552,7.75%,"Anxiety disorder, unspecified"
42731,2495,7.58%,Atrial fibrillation
53081,2444,7.43%,Esophageal reflux
F329,2408,7.32%,"Major depressive disorder, single episode, unspecified"
N179,2309,7.02%,"Acute kidney failure, unspecified"
25000,2184,6.64%,"Diabetes mellitus without mention of complication, type II or unspecified type, "
5849,2049,6.23%,"Acute kidney failure, unspecified"
V1582,1965,5.97%,Personal history of tobacco use
D649,1959,5.95%,"Anemia, unspecified"
3051,1935,5.88%,Tobacco use disorder
311,1902,5.78%,"Depressive disorder, not elsewhere classified"
Z66,1896,5.76%,Do not resuscitate
E872,1854,5.63%,Acidosis
I2510,1836,5.58%,Atherosclerotic heart disease of native coronary artery without angina pectoris
Z20822,1790,5.44%,Contact with and (suspected) exposure to COVID-19
Z7901,1757,5.34%,Long term (current) use of anticoagulants
5990,1712,5.20%,"Urinary tract infection, site not specified"
E039,1683,5.11%,"Hypothyroidism, unspecified"
2449,1640,4.98%,Unspecified acquired hypothyroidism
41401,1616,4.91%,Coronary atherosclerosis of native coronary artery
F17210,1602,4.87%,"Nicotine dependence, cigarettes, uncomplicated"
Z794,1595,4.85%,Long term (current) use of insulin
E119,1573,4.78%,Type 2 diabetes mellitus without complications
E871,1549,4.71%,Hypo-osmolality and hyponatremia
N390,1549,4.71%,"Urinary tract infection, site not specified"
I4891,1505,4.57%,Unspecified atrial fibrillation
G936,1475,4.48%,Cerebral edema
51881,1393,4.23%,Acute respiratory failure
J9601,1385,4.21%,Acute respiratory failure with hypoxia
V5861,1363,4.14%,Long-term (current) use of anticoagulants
30000,1337,4.06%,"Anxiety state, unspecified"
Z781,1316,4.00%,Physical restraint status
G4733,1274,3.87%,Obstructive sleep apnea (adult) (pediatric)
2762,1258,3.82%,Acidosis
Z8673,1244,3.78%,"Personal history of transient ischemic attack (TIA), and cerebral infarction wit"
Y929,1231,3.74%,Unspecified place or not applicable
D72829,1216,3.69%,"Elevated white blood cell count, unspecified"
R29810,1216,3.69%,Facial weakness
E669,1207,3.67%,"Obesity, unspecified"
3485,1191,3.62%,Cerebral edema
V4986,1191,3.62%,Do not resuscitate status
Z7902,1161,3.53%,Long term (current) use of antithrombotics/antiplatelets
Z515,1152,3.50%,Encounter for palliative care
V5867,1119,3.40%,Long-term (current) use of insulin
